NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,AlexNet,AlexNet,Machine Translation,VGG16,GoogLeNet,Automatic Speech Recognition,Sentiment Analysis,Sentiment Analysis,Automatic Speech Recognition,AlexNet,Sentiment Analysis,AlexNet
ISOLATED,6473754,6473754,9911366,77632498,11873594,13464404,4489981,4489981,13464404,6473754,4489981,6473754
PRIORITY,0,0,1,2,0,0,2,2,1,1,1,2
DISPATCHED,0,2877910,5679567,5627206,3980152,29315,5515637,1206108,281228,332997,2586986,686335
ESTIMATED,1114704,1114704,1,14014972,1055492,1,1,1,1,1114704,1,1114704
RUNNED,6474645,6473546,9911223,77632804,11873389,13464267,4489776,4489777,13464197,6473034,4489776,6473548
WAITED,62182405,65779141,1,82449973,46358180,9911224,17889169,26688474,32103131,74797600,43261570,80917296
ELAPSED,68657050,72252687,9911224,160082777,58231569,23375491,22378945,31178251,45567328,81270634,47751346,87390844
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,False,True,False
SJF,STATIC
ANTT,6.955782185659099,STP,3.3366559587535676,FAIRNESS,0.014289642280235755
