NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,AlexNet,AlexNet,AlexNet,VGG16,Machine Translation,VGG16,AlexNet,VGG16,AlexNet,Automatic Speech Recognition,Machine Translation,VGG16
ISOLATED,6473754,6473754,6473754,77632498,9911366,77632498,6473754,77632498,6473754,13464404,9911366,77632498
PRIORITY,0,1,1,2,2,1,0,1,2,2,0,1
DISPATCHED,0,60765,1636414,788160,3028842,5928138,5946019,5025298,3464475,4854472,5345510,4979618
ESTIMATED,1114704,1114704,1114704,14014972,1,14014972,1114704,14014972,1114704,1,1,14014972
RUNNED,6472751,6474022,6473034,77632306,9911159,77632292,6473548,77632804,6473547,13464199,9911160,77632292
WAITED,353325655,107481212,112379585,1,75391625,114560895,353852388,193096027,84867151,89950701,360926445,270774511
ELAPSED,359798406,113955234,118852619,77632307,85302784,192193187,360325936,270728831,91340698,103414900,370837605,348406803
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,False,False,False,True,True,True,False,True,False,True,False,True
HPF,STATIC
ANTT,18.87184680328163,STP,2.4047346830661294,FAIRNESS,0.05848776679295466
