NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,GoogLeNet,Automatic Speech Recognition,GoogLeNet,Machine Translation,GoogLeNet,GoogLeNet,AlexNet
ISOLATED,6150050,813951,13440293,813951,9911366,813951,813951,1697722
PRIORITY,0,1,2,2,1,2,0,1
DISPATCHED,0,3950002,1995550,1862516,544098,1734947,1140906,2528062
ESTIMATED,3555583,291425,1,291425,1,291425,291425,307188
RUNNED,6150162,814131,13440313,813913,9911722,813963,814259,1697516
WAITED,27491558,12853135,1,13440314,15882321,14254227,32500815,23810079
ELAPSED,33641720,13667266,13440314,14254227,25794043,15068190,33315074,25507595
SWITCHED,2,1,1,2,2,2,1,1
SLA,True,False,True,False,True,False,False,False
HPF,DYNAMIC
ANTT,14.730419753370606,STP,1.8287233099886482,FAIRNESS,0.03283176338163529
