NNID,1,2,3,4,5,6,7,8
NET NAME,Machine Translation,MobileNet,VGG16,MobileNet,Automatic Speech Recognition,GoogLeNet,Sentiment Analysis,VGG16
ISOLATED,9911366,25908758,77632498,25908758,13464404,11873594,4489981,77632498
PRIORITY,1,0,0,1,2,2,0,1
DISPATCHED,0,1958272,3952618,943036,3356928,2504691,1800968,2749429
ESTIMATED,1,5045956,14014972,5045956,1,1055492,1,14014972
RUNNED,9911620,25908552,77632292,25909838,13464197,11872874,4489777,77632291
WAITED,106964,136832549,160746755,34305656,6661657,20978091,240530697,58409101
ELAPSED,10018584,162741101,238379047,60215494,20125854,32850965,245020474,136041392
SWITCHED,2,1,1,2,1,1,1,1
SLA,True,True,True,True,True,True,False,True
PREMA,DYNAMIC
ANTT,9.15890233036668,STP,3.5238629484506174,FAIRNESS,1.14011464039001e-10
