NNID,1,2,3,4,5,6,7,8
NET NAME,GoogLeNet,AlexNet,Automatic Speech Recognition,GoogLeNet,Machine Translation,AlexNet,VGG16,GoogLeNet
ISOLATED,11873594,6473754,13464404,11873594,9911366,6473754,77632498,11873594
PRIORITY,1,1,2,2,1,0,0,1
DISPATCHED,0,1944500,3487184,2345558,3097313,2542940,1819524,987149
ESTIMATED,1055492,1114704,1,1055492,1,1114704,14014972,1055492
RUNNED,11873207,6473031,13464594,11873898,9911151,6473548,77632292,11873899
WAITED,23375745,57052250,1,32903395,13464595,62926841,70123805,46135702
ELAPSED,35248952,63525281,13464595,44777293,23375746,69400389,147756097,58009601
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,False,True,True,True,False,True,True
SJF,STATIC
ANTT,4.677528648359912,STP,2.9512900614629616,FAIRNESS,0.05607686165395753
