NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,GoogLeNet,VGG16,Automatic Speech Recognition,AlexNet,VGG16,GoogLeNet,Machine Translation
ISOLATED,77632498,11873594,77632498,13464404,6473754,77632498,11873594,9911366
PRIORITY,2,0,0,1,0,2,2,1
DISPATCHED,0,3442201,3564876,3571872,387655,2109811,3577777,2063007
ESTIMATED,14014972,1055492,14014972,1,1114704,14014972,1055492,1
RUNNED,77633551,11872873,77633829,13464551,6473548,77632292,11872872,9910780
WAITED,35248203,187071846,198822044,1,279633094,110771944,21860562,13464552
ELAPSED,112881754,198944719,276455873,13464552,286106642,188404236,33733434,23375332
SWITCHED,2,1,1,1,1,1,1,2
SLA,True,False,True,True,False,True,True,True
PREMA,DYNAMIC
ANTT,9.323948357342909,STP,3.2388906400784006,FAIRNESS,7.246058409415784e-11
