NNID,1,2,3,4
NET NAME,GoogLeNet,AlexNet,AlexNet,Sentiment Analysis
ISOLATED,813951,1697722,1697722,4469462
PRIORITY,2,1,2,1
DISPATCHED,0,408323,1651624,94488
ESTIMATED,291425,307188,307188,1
RUNNED,814353,1697391,1697518,4469366
WAITED,4469366,4875397,5329487,1
ELAPSED,5283719,6572788,7027005,4469367
SWITCHED,2,1,1,1
SLA,False,True,False,True
SJF,DYNAMIC
ANTT,3.875509311477094,STP,1.6539653607375362,FAIRNESS,0.05134853557899969
