NNID,1,2,3,4,5,6,7,8
NET NAME,MobileNet,MobileNet,GoogLeNet,GoogLeNet,GoogLeNet,GoogLeNet,Automatic Speech Recognition,Automatic Speech Recognition
ISOLATED,25908758,25908758,11873594,11873594,11873594,11873594,13464404,13464404
PRIORITY,0,2,0,2,1,0,0,2
DISPATCHED,0,467672,2008343,3214435,178233,3770069,571372,3349331
ESTIMATED,5045956,5045956,1055492,1055492,1055492,1055492,1,1
RUNNED,25909798,25908553,11873388,11873898,11874078,11873900,13464514,13464198
WAITED,74423976,99866103,25491742,36159038,50675999,58958241,1,10686556
ELAPSED,100333774,125774656,37365130,48032936,62550077,70832141,13464515,24150754
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
SJF,STATIC
ANTT,3.743321385660674,STP,2.944150182938002,FAIRNESS,0.022888352174816176
