NNID,1,2,3,4,5,6,7,8
NET NAME,Machine Translation,VGG16,MobileNet,Machine Translation,Machine Translation,Sentiment Analysis,MobileNet,Sentiment Analysis
ISOLATED,9911366,6150050,1867013,9911366,9911366,4469462,1867013,4469462
PRIORITY,1,2,2,2,1,1,1,2
DISPATCHED,0,1305761,643874,1529654,1072487,2370365,638037,945119
ESTIMATED,1,3555583,1419697,1,1,1,1419697,1
RUNNED,9911218,6150387,1866924,9911161,9911160,4469256,1866807,4469256
WAITED,22397728,1,6150388,7131532,31236460,39849742,46051326,17627228
ELAPSED,32308946,6150388,8017312,17042693,41147620,44318998,47918133,22096484
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,False,False,True
HPF,STATIC
ANTT,6.868825974431434,STP,2.7041009803714045,FAIRNESS,0.1168940957478003
