NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,Machine Translation,Automatic Speech Recognition,MobileNet,MobileNet,VGG16,Machine Translation,Sentiment Analysis
ISOLATED,77632498,9911366,13464404,25908758,25908758,77632498,9911366,4489981
PRIORITY,2,0,0,0,1,2,2,1
DISPATCHED,0,3471243,2921195,1098388,1899686,1529510,1457572,3371252
ESTIMATED,14014972,1,1,5045956,5045956,14014972,1,1
RUNNED,77632498,9911159,13464198,25908553,25908553,77632292,9911159,4489777
WAITED,0,192103037,202564244,217851249,163276264,76102989,153807219,187713251
ELAPSED,77632498,202014196,216028442,243759802,189184817,153735281,163718378,192203028
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,False,False,False,True,True,False,False
HPF,STATIC
ANTT,14.430309550832527,STP,1.943502131870093,FAIRNESS,0.060539116750839055
