NNID,1,2,3,4
NET NAME,Machine Translation,VGG16,MobileNet,MobileNet
ISOLATED,9911366,77632498,25908758,25908758
PRIORITY,1,1,1,0
DISPATCHED,0,981602,769486,341396
ESTIMATED,1,14014972,5045956,5045956
RUNNED,9911018,77632291,25908901,25908553
WAITED,105514,34838318,9141533,113110815
ELAPSED,10016532,112470609,35050434,139019368
SWITCHED,2,1,2,1
SLA,True,True,True,False
PREMA,DYNAMIC
ANTT,2.294484338805698,STP,2.6053007938268116,FAIRNESS,7.777328787489019e-08
