NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Sentiment Analysis,VGG16,MobileNet,GoogLeNet,GoogLeNet,GoogLeNet,GoogLeNet,GoogLeNet,MobileNet,GoogLeNet,Automatic Speech Recognition,Machine Translation
ISOLATED,4469462,6150050,1867013,813951,813951,813951,813951,813951,1867013,813951,13440293,9911366
PRIORITY,1,2,0,0,0,1,0,1,1,0,0,1
DISPATCHED,0,4282983,5833289,3999690,309385,3385015,1917459,4695853,1967345,1975067,1549341,2878001
ESTIMATED,1,3555583,1419697,291425,291425,291425,291425,291425,1419697,291425,1,1
RUNNED,4469201,6150105,1866807,814258,813618,814259,814131,814131,1866680,814131,13439959,9911160
WAITED,6150105,1,18192248,21892654,26397217,7234292,25602761,6737713,10280352,26359284,27599141,11236376
ELAPSED,10619306,6150106,20059055,22706912,27210835,8048551,26416892,7551844,12147032,27173415,41039100,21147536
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,False,False,True,False,True,True,False,True,True
HPF,STATIC
ANTT,14.345568905230524,STP,2.799261793756411,FAIRNESS,0.09133673516913209
