NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,VGG16,GoogLeNet,Machine Translation,Automatic Speech Recognition,AlexNet,Automatic Speech Recognition,Sentiment Analysis
ISOLATED,6150050,6150050,813951,9911366,13440293,1697722,13440293,4469462
PRIORITY,1,0,1,2,2,2,2,2
DISPATCHED,0,970264,584030,925926,2737019,2236075,1334959,2864098
ESTIMATED,3555583,3555583,291425,1,1,307188,1,1
RUNNED,6150018,6149846,814291,9911033,13440086,1697518,13440086,4469256
WAITED,115970,48952025,5565989,6038384,29275928,28079354,15540384,42588935
ELAPSED,6265988,55101871,6380280,15949417,42716014,29776872,28980470,47058191
SWITCHED,2,1,1,1,1,1,1,1
SLA,True,False,True,True,True,False,True,False
TOKEN,STATIC
ANTT,6.603608866674598,STP,2.7725133065841545,FAIRNESS,6.647595036690191e-11
