NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Machine Translation,GoogLeNet,Sentiment Analysis,Sentiment Analysis,Automatic Speech Recognition,VGG16,Sentiment Analysis,Automatic Speech Recognition,Automatic Speech Recognition,MobileNet,VGG16,Machine Translation
ISOLATED,9911366,11873594,4489981,4489981,13464404,77632498,4489981,13464404,13464404,25908758,77632498,9911366
PRIORITY,0,2,2,1,0,2,2,2,0,0,0,0
DISPATCHED,0,4854665,2461546,5599719,2321586,3625651,167019,3194375,110179,4623218,2239496,2377533
ESTIMATED,1,1055492,1,1,1,14014972,1,1,1,5045956,14014972,1
RUNNED,9911366,11873387,4489777,4489775,13464198,77632291,4489777,13464197,13464199,25909576,77632292,9911161
WAITED,0,68829786,7449821,8801425,16569333,107841763,32188098,33650519,50198912,80934620,186860209,61395757
ELAPSED,9911366,80703173,11939598,13291200,30033531,185474054,36677875,47114716,63663111,106844196,264492501,71306918
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,4.096460251324314,STP,4.022567909131601,FAIRNESS,0.013601845193533644
