NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,VGG16,GoogLeNet,GoogLeNet,VGG16,Sentiment Analysis,MobileNet,Sentiment Analysis,AlexNet,MobileNet,Automatic Speech Recognition,VGG16,Machine Translation
ISOLATED,6150050,813951,813951,6150050,4469462,1867013,4469462,1697722,1867013,13440293,6150050,9911366
PRIORITY,2,0,0,0,0,2,2,0,2,1,1,2
DISPATCHED,0,898586,2910748,403274,2283381,1034910,5725548,4521762,1755968,1117091,3891970,185657
ESTIMATED,3555583,291425,291425,3555583,1,1419697,1,307188,1419697,1,3555583,1
RUNNED,6150308,813746,814131,6149717,4469256,1866807,4469508,1697518,1866806,13440264,6149844,9910987
WAITED,31554372,42955939,41757523,45079128,49348738,26971507,1,51579613,28117256,4469509,33812711,17909773
ELAPSED,37704680,43769685,42571654,51228845,53817994,28838314,4469509,53277131,29984062,17909773,39962555,27820760
SWITCHED,2,1,1,1,1,1,1,1,1,2,1,2
SLA,True,False,False,True,False,False,True,False,False,True,True,True
PREMA,DYNAMIC
ANTT,17.258652332089223,STP,2.8233858624111288,FAIRNESS,3.031868381893829e-10
