NNID,1,2,3,4
NET NAME,Machine Translation,VGG16,Machine Translation,GoogLeNet
ISOLATED,9911366,6150050,9911366,813951
PRIORITY,1,0,0,1
DISPATCHED,0,860264,810103,943958
ESTIMATED,1,3555583,1,291425
RUNNED,9911366,6149717,9911160,814259
WAITED,0,9865362,16065240,8967409
ELAPSED,9911366,16015079,25976400,9781668
SWITCHED,1,1,1,1
SLA,True,True,True,False
HPF,STATIC
ANTT,4.5606102750892745,STP,1.8487808124557814,FAIRNESS,0.07222948639637657
