NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Automatic Speech Recognition,Sentiment Analysis,Sentiment Analysis,GoogLeNet,Automatic Speech Recognition,MobileNet,AlexNet,GoogLeNet,Machine Translation,Automatic Speech Recognition,Automatic Speech Recognition,GoogLeNet
ISOLATED,13440293,4469462,4469462,813951,13440293,1867013,1697722,813951,9911366,13440293,13440293,813951
PRIORITY,2,2,2,1,0,1,0,0,1,0,0,1
DISPATCHED,0,4737996,2664268,1414722,5388352,4313691,3745036,25389,878470,3625681,1089662,4014875
ESTIMATED,1,1,1,291425,1,1419697,307188,291425,1,1,1,291425
RUNNED,13440293,4469257,4469256,814259,13440086,1866807,1697389,813616,9911160,13440088,13440087,814133
WAITED,0,8702298,15245283,71195506,16990455,72435934,71307200,73399098,34940423,42104372,58080479,70223228
ELAPSED,13440293,13171555,19714539,72009765,30430541,74302741,73004589,74212714,44851583,55544460,71520566,71037361
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,False,True,False,False,False,True,True,True,False
SJF,STATIC
ANTT,31.19338230761961,STP,2.7406953554191653,FAIRNESS,0.008530736933798983
