NNID,1,2,3,4,5,6,7,8
NET NAME,Sentiment Analysis,Sentiment Analysis,Automatic Speech Recognition,Automatic Speech Recognition,MobileNet,Sentiment Analysis,Sentiment Analysis,Machine Translation
ISOLATED,4469462,4469462,13440293,13440293,1867013,4469462,4469462,9911366
PRIORITY,1,1,2,0,2,1,2,0
DISPATCHED,0,2533708,3894169,2513499,3214330,793797,400330,1621798
ESTIMATED,1,1,1,1,1419697,1,1,1
RUNNED,4469452,4469256,13440087,13440087,1866807,4469256,4469266,9911161
WAITED,124670,10874267,15849869,30670626,14662901,8144922,4069123,45002414
ELAPSED,4594122,15343523,29289956,44110713,16529708,12614178,8538389,54913575
SWITCHED,2,1,1,1,1,1,2,1
SLA,True,True,True,True,False,True,True,True
TOKEN,DYNAMIC
ANTT,3.631101355171012,STP,3.198937977951917,FAIRNESS,2.342533847958574e-10
