NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Automatic Speech Recognition,Automatic Speech Recognition,AlexNet,Automatic Speech Recognition,VGG16,AlexNet,AlexNet,MobileNet,Automatic Speech Recognition,Automatic Speech Recognition,AlexNet,Machine Translation
ISOLATED,13464404,13464404,6473754,13464404,77632498,6473754,6473754,25908758,13464404,13464404,6473754,9911366
PRIORITY,2,1,1,1,2,0,1,1,1,1,0,0
DISPATCHED,0,4735939,5010737,4764253,2046804,4661710,3436990,1472360,2904942,3757337,3101154,175251
ESTIMATED,1,1,1114704,1,14014972,1114704,1114704,5045956,1,1,1114704,1
RUNNED,13464404,13464198,6473547,13464198,77632805,6473548,6473547,25908553,13464197,13464199,6473034,9911161
WAITED,0,145671767,172325365,159107651,37326154,179147939,127032970,11992045,114100821,133186170,187182043,196580980
ELAPSED,13464404,159135965,178798912,172571849,114958959,185621487,133506517,37900598,127565018,146650369,193655077,206492141
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,False,False,True,False,False,True,True,True,False,False
TOKEN,STATIC
ANTT,14.71733142347999,STP,2.9198987917263968,FAIRNESS,6.7877080514127195e-12
