NNID,1,2,3,4,5,6,7,8
NET NAME,Machine Translation,GoogLeNet,VGG16,Sentiment Analysis,GoogLeNet,GoogLeNet,AlexNet,Automatic Speech Recognition
ISOLATED,9911366,11873594,77632498,4489981,11873594,11873594,6473754,13464404
PRIORITY,2,2,1,1,0,2,2,2
DISPATCHED,0,344887,3776778,521790,2598911,1955047,1279190,943011
ESTIMATED,1,1055492,14014972,1,1055492,1055492,1114704,1
RUNNED,9911366,11873388,77633317,4489774,11873388,11873387,6473546,13464198
WAITED,0,9566480,54308882,21262965,133120066,44257226,38459537,25331518
ELAPSED,9911366,21439868,131942199,25752739,144993454,56130613,44933083,38795716
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,False,True,True,True
TOKEN,STATIC
ANTT,4.625222834931682,STP,3.1011015034138443,FAIRNESS,8.768207870960423e-11
