NNID,1,2,3,4
NET NAME,AlexNet,Automatic Speech Recognition,MobileNet,VGG16
ISOLATED,1697722,13440293,1867013,6150050
PRIORITY,1,1,1,1
DISPATCHED,0,701859,385153,1503835
ESTIMATED,307188,1,1419697,3555583
RUNNED,1696899,13440087,1867631,6150357
WAITED,139847,2862672,1311747,15500783
ELAPSED,1836746,16302759,3179378,21651140
SWITCHED,2,1,2,1
SLA,True,True,True,True
TOKEN,DYNAMIC
ANTT,1.8795673052644406,STP,2.620005813829618,FAIRNESS,1.7219059973383365e-07
