NNID,1,2,3,4,5,6,7,8
NET NAME,GoogLeNet,VGG16,Automatic Speech Recognition,VGG16,GoogLeNet,VGG16,VGG16,AlexNet
ISOLATED,813951,6150050,13440293,6150050,813951,6150050,6150050,1697722
PRIORITY,0,0,1,2,1,2,0,0
DISPATCHED,0,3048781,127795,3638667,3333396,633445,2983747,3211383
ESTIMATED,291425,3555583,1,3555583,291425,3555583,3555583,307188
RUNNED,814316,6150229,13440235,6149717,814259,6149844,6149844,1697518
WAITED,26554055,24319591,1,16893467,16384479,12934586,30534854,36457062
ELAPSED,27368371,30469820,13440236,23043184,17198738,19084430,36684698,38154580
SWITCHED,2,1,1,1,1,1,1,1
SLA,False,True,True,True,False,True,True,False
TOKEN,DYNAMIC
ANTT,11.999666692787832,STP,2.080201022293284,FAIRNESS,2.5072843327809536e-05
