NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,AlexNet,GoogLeNet,Sentiment Analysis,VGG16,MobileNet,GoogLeNet,AlexNet
ISOLATED,6150050,1697722,813951,4469462,6150050,1867013,813951,1697722
PRIORITY,0,1,1,0,1,1,0,0
DISPATCHED,0,3852292,1246712,895978,2394561,3359097,1098903,1146527
ESTIMATED,3555583,307188,291425,1,3555583,1419697,291425,307188
RUNNED,6127451,1697548,835375,4469256,6150143,1866807,814258,1697390
WAITED,10549873,1,1,15781347,1697549,6883156,20047678,20814312
ELAPSED,16677324,1697549,835376,20250603,7847692,8749963,20861936,22511702
SWITCHED,3,1,1,1,2,1,1,1
SLA,True,True,True,True,True,True,False,False
HPF,DYNAMIC
ANTT,6.765236304980177,STP,3.675410831576757,FAIRNESS,0.10580138961538199
