NNID,1,2,3,4,5,6,7,8
NET NAME,Sentiment Analysis,GoogLeNet,VGG16,Sentiment Analysis,Machine Translation,GoogLeNet,Sentiment Analysis,MobileNet
ISOLATED,4489981,11873594,77632498,4489981,9911366,11873594,4489981,25908758
PRIORITY,1,1,0,0,0,0,1,0
DISPATCHED,0,2087012,1316116,2219098,3539397,1863940,3902467,3267580
ESTIMATED,1,1055492,14014972,1,1,1055492,1,5045956
RUNNED,4490331,11873037,77632292,4489775,9911161,11873387,4489776,25909577
WAITED,12988,2403320,19537029,96266339,99435815,111022433,12460902,121492180
ELAPSED,4503319,14276357,97169321,100756114,109346976,122895820,16950678,147401757
SWITCHED,2,1,1,1,1,1,1,1
SLA,True,True,True,False,False,False,True,True
TOKEN,STATIC
ANTT,7.093064523927297,STP,3.300149068383697,FAIRNESS,4.033507933369279e-11
