NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,MobileNet,AlexNet,MobileNet,Machine Translation,Machine Translation,AlexNet,Sentiment Analysis
ISOLATED,77632498,25908758,6473754,25908758,9911366,9911366,6473754,4489981
PRIORITY,0,0,0,0,2,2,2,2
DISPATCHED,0,3278878,2884587,1167175,217814,2120394,199561,874974
ESTIMATED,14014972,5045956,1114704,5045956,1,1,1114704,1
RUNNED,77632809,25908553,6473547,25908552,9911578,9911160,6473331,4489776
WAITED,30785845,105139777,131442621,139633580,1,8008999,24312515,19165579
ELAPSED,108418654,131048330,137916168,165542132,9911579,17920159,30785846,23655355
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,False,True,True,True,True,True
PREMA,STATIC
ANTT,5.872497383416535,STP,3.0703507978469706,FAIRNESS,9.214110291137088e-12
