NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Automatic Speech Recognition,MobileNet,AlexNet,AlexNet,Sentiment Analysis,Automatic Speech Recognition,Machine Translation,Machine Translation,VGG16,AlexNet,VGG16,AlexNet
ISOLATED,13440293,1867013,1697722,1697722,4469462,13440293,9911366,9911366,6150050,1697722,6150050,1697722
PRIORITY,2,0,2,2,0,0,2,2,0,2,2,0
DISPATCHED,0,319457,5573824,2712715,910417,3061818,2057589,1389683,1178748,3501518,2239362,4488599
ESTIMATED,1,1419697,307188,307188,1,1,1,1,3555583,307188,3555583,307188
RUNNED,13440293,1866808,1697516,1697518,4469256,13440087,9911161,9911160,6149845,1697516,6149844,1697516
WAITED,0,44185552,27688791,32247416,45461400,47779255,11382705,21961772,63102412,33156131,36115803,65942406
ELAPSED,13440293,46052360,29386307,33944934,49930656,61219342,21293866,31872932,69252257,34853647,42265647,67639922
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,False,False,False,True,True,True,True,True,False,True,False
PREMA,STATIC
ANTT,13.547059669815765,STP,2.541931008272441,FAIRNESS,9.429263499577472e-11
