NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Automatic Speech Recognition,AlexNet,VGG16,Automatic Speech Recognition,Sentiment Analysis,GoogLeNet,VGG16,Sentiment Analysis,GoogLeNet,Machine Translation,GoogLeNet,Sentiment Analysis
ISOLATED,13440293,1697722,6150050,13440293,4469462,813951,6150050,4469462,813951,9911366,813951,4469462
PRIORITY,0,1,1,0,1,1,1,1,2,2,1,1
DISPATCHED,0,2079232,3058247,1983709,390702,4810034,1763760,5432606,5534152,142350,4949388,4672576
ESTIMATED,1,307188,3555583,1,1,291425,3555583,1,291425,1,291425,1
RUNNED,13440293,1697389,6149844,13440087,4469256,813746,6150358,4469256,814132,9911160,814131,4469256
WAITED,0,50562086,51280460,11456585,26489679,45389275,58724791,25917031,45478903,35676543,46877799,41057477
ELAPSED,13440293,52259475,57430304,24896672,30958935,46203021,64875149,30386287,46293035,45587703,47691930,45526733
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,False,True,True,True,False,True,True,False,True,False,True
SJF,DYNAMIC
ANTT,21.188668451772454,STP,2.433522010781348,FAIRNESS,0.001953620020808746
