NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,Machine Translation,GoogLeNet,MobileNet,AlexNet,AlexNet,VGG16,Sentiment Analysis
ISOLATED,77632498,9911366,11873594,25908758,6473754,6473754,77632498,4489981
PRIORITY,0,1,0,2,1,0,0,0
DISPATCHED,0,150856,2674429,118168,3257465,1245886,592899,2573669
ESTIMATED,14014972,1,1055492,5045956,1114704,1114704,14014972,1
RUNNED,77632982,9911160,11873386,25908580,6473548,6473034,77632804,4489777
WAITED,42293288,25875893,117251842,1,32680444,130553771,137679792,213331826
ELAPSED,119926270,35787053,129125228,25908581,39153992,137026805,215312596,217821603
SWITCHED,2,1,1,1,1,1,1,1
SLA,True,True,False,True,True,False,True,False
HPF,DYNAMIC
ANTT,11.94142636068484,STP,2.6100056543081847,FAIRNESS,0.03184302508124504
