NNID,1,2,3,4,5,6,7,8
NET NAME,MobileNet,Sentiment Analysis,VGG16,Automatic Speech Recognition,MobileNet,GoogLeNet,GoogLeNet,AlexNet
ISOLATED,1867013,4469462,6150050,13440293,1867013,813951,813951,1697722
PRIORITY,1,1,1,1,2,2,2,1
DISPATCHED,0,3418002,2776825,1098986,3485560,1417276,189630,3203893
ESTIMATED,1419697,1,3555583,1,1419697,291425,291425,307188
RUNNED,1866946,4469580,6149845,13439829,1866807,813746,814644,1696877
WAITED,21234676,1,22191605,4469581,19616063,17591120,1,16618249
ELAPSED,23101622,4469581,28341450,17909410,21482870,18404866,814645,18315126
SWITCHED,1,1,1,1,1,1,1,1
SLA,False,True,True,True,False,False,True,False
PREMA,STATIC
ANTT,8.15270797785346,STP,3.2712240409724025,FAIRNESS,1.3128254143849852e-08
