NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Sentiment Analysis,VGG16,MobileNet,AlexNet,Sentiment Analysis,Sentiment Analysis,Machine Translation,GoogLeNet,VGG16,GoogLeNet,VGG16,AlexNet
ISOLATED,4489981,77632498,25908758,6473754,4489981,4489981,9911366,11873594,77632498,11873594,77632498,6473754
PRIORITY,1,1,1,0,0,2,2,0,2,1,1,1
DISPATCHED,0,3053878,2345451,235148,3589677,1539020,4328851,191662,438262,4139520,4774487,2234545
ESTIMATED,1,14014972,5045956,1114704,1,1,1,1055492,14014972,1055492,14014972,1114704
RUNNED,4489981,77632293,25908551,6473546,4489778,4489775,9911160,11873388,77632292,11873898,77632804,6473034
WAITED,0,82929234,57729110,46892833,900305,7440740,9140684,23189033,163177143,31114563,236473210,51366982
ELAPSED,4489981,160561527,83637661,53366379,5390083,11930515,19051844,35062421,240809435,42988461,314106014,57840016
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,3.581310095630897,STP,4.940477387602539,FAIRNESS,0.043000994736648646
