NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,VGG16,Sentiment Analysis,VGG16,Machine Translation,Automatic Speech Recognition,GoogLeNet,Sentiment Analysis,GoogLeNet,Automatic Speech Recognition,Sentiment Analysis,AlexNet,AlexNet
ISOLATED,77632498,4489981,77632498,9911366,13464404,11873594,4489981,11873594,13464404,4489981,6473754,6473754
PRIORITY,1,2,0,0,1,0,0,1,0,2,0,1
DISPATCHED,0,4642928,5361682,5652953,1718758,4715990,4037048,2610170,2467087,4081539,2979666,4760695
ESTIMATED,14014972,1,14014972,1,1,1055492,1,1055492,1,1,1114704,1114704
RUNNED,77633062,4489777,77632806,9911159,13464146,11872875,4489773,11873387,13464198,4489775,6473549,6473033
WAITED,31242,102817443,113061499,190403034,75914305,201251156,213802973,88487039,219862707,98889057,232814326,107189453
ELAPSED,77664304,107307220,190694305,200314193,89378451,213124031,218292746,100360426,233326905,103378832,239287875,113662486
SWITCHED,2,1,1,1,2,1,1,1,1,1,1,1
SLA,True,False,True,False,True,False,False,True,False,False,False,False
TOKEN,DYNAMIC
ANTT,18.6748322847174,STP,2.028400116602888,FAIRNESS,4.821107383123152e-13
