NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Machine Translation,Machine Translation,AlexNet,AlexNet,MobileNet,VGG16,VGG16,AlexNet,Automatic Speech Recognition,Automatic Speech Recognition,GoogLeNet,Automatic Speech Recognition
ISOLATED,9911366,9911366,6473754,6473754,25908758,77632498,77632498,6473754,13464404,13464404,11873594,13464404
PRIORITY,0,2,0,2,1,2,2,1,0,2,0,2
DISPATCHED,0,2924561,1052483,725707,4030878,4133857,3726748,5766116,3842438,2195386,5828665,2732863
ESTIMATED,1,1,1114704,1114704,5045956,14014972,14014972,1114704,1,1,1055492,1
RUNNED,9910973,9911419,6473034,6473170,25908552,77632804,77632804,6473547,13464198,13464198,11872875,13464199
WAITED,230960693,1,239819184,9911420,195273424,12976440,91016353,219446738,243502263,170180519,254980234,183107240
ELAPSED,240871666,9911420,246292218,16384590,221181976,90609244,168649157,225920285,256966461,183644717,266853109,196571439
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,False,True,False,True,True,True,True,False,False,False,False,False
HPF,STATIC
ANTT,15.204218457387631,STP,3.164141686231774,FAIRNESS,0.06849661083257749
