NNID,1,2,3,4,5,6,7,8
NET NAME,Sentiment Analysis,VGG16,AlexNet,GoogLeNet,MobileNet,AlexNet,AlexNet,VGG16
ISOLATED,4489981,77632498,6473754,11873594,25908758,6473754,6473754,77632498
PRIORITY,2,1,1,2,2,0,0,0
DISPATCHED,0,1052967,894131,2529815,358679,469352,189659,2472263
ESTIMATED,1,14014972,1114704,1055492,5045956,1114704,1114704,14014972
RUNNED,4489981,77632804,6473547,11873386,25908554,6473034,6473546,77632806
WAITED,0,35819116,29504405,111975072,4131303,125908921,132661648,136852590
ELAPSED,4489981,113451920,35977952,123848458,30039857,132381955,139135194,214485396
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,False,True,False,False,True
TOKEN,DYNAMIC
ANTT,8.039123156665886,STP,3.279943011329813,FAIRNESS,2.680492017411017e-06
