NNID,1,2,3,4
NET NAME,Automatic Speech Recognition,VGG16,Automatic Speech Recognition,GoogLeNet
ISOLATED,13440293,6150050,13440293,813951
PRIORITY,1,2,2,0
DISPATCHED,0,64550,706913,1075399
ESTIMATED,1,3555583,1,291425
RUNNED,13440138,6149999,13440087,813746
WAITED,110450,26815676,12843676,31954826
ELAPSED,13550588,32965675,26283763,32768572
SWITCHED,2,1,1,1
SLA,True,False,True,False
PREMA,STATIC
ANTT,12.145670989633896,STP,1.7146125360215554,FAIRNESS,5.350246098947435e-09
