NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,Automatic Speech Recognition,GoogLeNet,MobileNet,GoogLeNet,GoogLeNet,Machine Translation,Sentiment Analysis
ISOLATED,6473754,13464404,11873594,25908758,11873594,11873594,9911366,4489981
PRIORITY,0,1,0,2,1,0,1,0
DISPATCHED,0,381129,1674489,2900257,3506747,2517062,3510370,2096341
ESTIMATED,1114704,1,1055492,5045956,1055492,1055492,1,1
RUNNED,6474542,13464434,11873387,25908553,11873387,11873896,9911161,4489775
WAITED,63486040,1,26572011,67060326,36613140,49476212,10335194,21660384
ELAPSED,69960582,13464435,38445398,92968879,48486527,61350108,20246355,26150159
SWITCHED,2,1,1,1,1,1,1,1
SLA,False,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,4.4687956135617055,STP,2.779718020251552,FAIRNESS,0.09289423131035242
