NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Sentiment Analysis,Machine Translation,Automatic Speech Recognition,AlexNet,GoogLeNet,VGG16,MobileNet,Sentiment Analysis,AlexNet,MobileNet,VGG16,Machine Translation
ISOLATED,4489981,9911366,13464404,6473754,11873594,77632498,25908758,4489981,6473754,25908758,77632498,9911366
PRIORITY,1,0,1,1,1,2,2,2,1,2,2,2
DISPATCHED,0,3333580,3980052,1179496,5932568,5081046,846868,4176678,5590111,2265642,3230058,1895009
ESTIMATED,1,1,1,1114704,1055492,14014972,5045956,1,1114704,5045956,14014972,1
RUNNED,4489681,9911160,13464198,6473547,11872874,77632716,25908430,4489776,6473546,25908552,77632292,9911160
WAITED,221482926,260923193,221992556,238257310,239977785,1,77632717,100211337,252193116,106612149,131556285,210523626
ELAPSED,225972607,270834353,235456754,244730857,251850659,77632717,103541147,104701113,258666662,132520701,209188577,220434786
SWITCHED,2,1,1,1,1,1,2,1,1,1,1,1
SLA,False,False,False,False,False,True,True,False,False,True,True,False
HPF,DYNAMIC
ANTT,21.03976928342068,STP,2.116964992177834,FAIRNESS,0.042883915342548
