NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,MobileNet,MobileNet,Machine Translation,AlexNet,MobileNet,AlexNet,VGG16
ISOLATED,6150050,1867013,1867013,9911366,1697722,1867013,1697722,6150050
PRIORITY,2,1,0,0,2,2,2,1
DISPATCHED,0,398271,283128,3291180,2225174,3256665,602053,1098969
ESTIMATED,3555583,1419697,1419697,1,307188,1419697,307188,3555583
RUNNED,6150310,1866414,1867039,9911594,1696996,1866806,1697507,6149844
WAITED,18906356,13306098,15172512,1,9911595,14066014,11608591,23957698
ELAPSED,25056666,15172512,17039551,9911595,11608591,15932820,13306098,30107542
SWITCHED,2,2,2,1,2,1,2,1
SLA,True,False,False,True,True,False,True,True
SJF,DYNAMIC
ANTT,6.304027709369599,STP,2.0733308132719763,FAIRNESS,0.013020336756579137
