NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,GoogLeNet,GoogLeNet,Sentiment Analysis,Automatic Speech Recognition,MobileNet,AlexNet,GoogLeNet,GoogLeNet,Automatic Speech Recognition,GoogLeNet,GoogLeNet,Machine Translation
ISOLATED,813951,813951,4469462,13440293,1867013,1697722,813951,813951,13440293,813951,813951,9911366
PRIORITY,1,0,1,0,0,2,0,2,1,1,0,1
DISPATCHED,0,3871665,777876,834792,2927482,3337425,4672791,4263181,1101098,2492720,3663640,3796915
ESTIMATED,291425,291425,1,1,1419697,307188,291425,291425,1,291425,291425,1
RUNNED,813912,814258,4469808,13439960,1866806,1696877,813746,814133,13440086,813618,814131,9911160
WAITED,27821054,28087930,1,31939061,43286331,26925293,43407828,24371786,4146587,26956380,45230725,14890856
ELAPSED,28634966,28902188,4469809,45379021,45153137,28622170,44221574,25185919,17586673,27769998,46044856,24802016
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1
SLA,False,False,True,True,False,False,False,False,True,False,False,True
PREMA,DYNAMIC
ANTT,24.65660836994333,STP,2.714914419728394,FAIRNESS,4.036936656252842e-10
