NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Automatic Speech Recognition,VGG16,VGG16,MobileNet,AlexNet,MobileNet,Sentiment Analysis,Sentiment Analysis,Machine Translation,GoogLeNet,Sentiment Analysis,Sentiment Analysis
ISOLATED,13464404,77632498,77632498,25908758,6473754,25908758,4489981,4489981,9911366,11873594,4489981,4489981
PRIORITY,0,1,2,1,1,2,0,2,2,0,2,2
DISPATCHED,0,4720501,150953,1772149,841015,5987173,4841465,2480874,1493584,2135764,3274023,5074957
ESTIMATED,1,14014972,14014972,5045956,1114704,5045956,1,1,1,1055492,1,1
RUNNED,13464329,77632804,77632879,25908553,6473547,25908554,4489777,4489776,9911160,11873387,4489775,4489777
WAITED,236936825,122352374,1,202933530,229773217,71796660,245559690,101211513,106688579,252755168,114819300,117508141
ELAPSED,250401154,199985178,77632880,228842083,236246764,97705214,250049467,105701289,116599739,264628555,119309075,121997918
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1
SLA,False,True,True,True,False,True,False,False,True,False,False,False
HPF,DYNAMIC
ANTT,19.85808598021077,STP,2.112493224990299,FAIRNESS,0.031602764692658464
