NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,GoogLeNet,Machine Translation,Automatic Speech Recognition,Sentiment Analysis,GoogLeNet,GoogLeNet,AlexNet,Automatic Speech Recognition,VGG16,GoogLeNet,MobileNet,GoogLeNet
ISOLATED,813951,9911366,13440293,4469462,813951,813951,1697722,13440293,6150050,813951,1867013,813951
PRIORITY,1,1,2,2,1,1,0,2,2,1,1,0
DISPATCHED,0,3065766,5401862,5948005,3973640,3660073,3823130,3152155,5474833,10155,5455469,3632567
ESTIMATED,291425,1,1,1,291425,291425,307188,1,3555583,291425,1419697,291425
RUNNED,814292,9911164,13439959,4469256,814131,814259,1697518,13440087,6150356,55669270,1866808,814258
WAITED,164845,1,22643546,43554526,23257637,22756945,50148657,9824776,37877342,804138,36029898,52036738
ELAPSED,979137,9911165,36083505,48023782,24071768,23571204,51846175,23264863,44027698,56473408,37896706,52850996
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,False,False,False,True,True,False,False,False
TOKEN,STATIC
ANTT,22.350445774520637,STP,3.1944236320023887,FAIRNESS,1.9729876546829922e-10
