NNID,1,2,3,4,5,6,7,8
NET NAME,Machine Translation,GoogLeNet,AlexNet,Automatic Speech Recognition,VGG16,Machine Translation,Sentiment Analysis,AlexNet
ISOLATED,9911366,813951,1697722,13440293,6150050,9911366,4469462,1697722
PRIORITY,2,1,1,1,1,1,2,2
DISPATCHED,0,3109466,1031110,3531036,941089,2910286,2623838,3943471
ESTIMATED,1,291425,307188,1,3555583,1,1,307188
RUNNED,9911366,813745,1696877,13440087,6150356,9911161,4469256,1697004
WAITED,0,34622405,37514506,6380331,40998408,20441168,30638777,36299022
ELAPSED,9911366,35436150,39211383,19820418,47148764,30352329,35108033,37996026
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,False,False,True,True,True,True,False
SJF,DYNAMIC
ANTT,13.758951111864402,STP,2.3733402125547327,FAIRNESS,0.02196398904175877
