NNID,1,2,3,4,5,6,7,8
NET NAME,Sentiment Analysis,GoogLeNet,Automatic Speech Recognition,VGG16,AlexNet,MobileNet,AlexNet,Machine Translation
ISOLATED,4469462,813951,13440293,6150050,1697722,1867013,1697722,9911366
PRIORITY,0,2,1,1,0,1,0,2
DISPATCHED,0,84937,607020,600575,673856,759950,1807657,797819
ESTIMATED,1,291425,1,3555583,307188,1419697,307188,1
RUNNED,4469035,814621,13440152,6150356,1697518,1866680,1697516,9911160
WAITED,32182969,23351313,1,25516976,35978149,23490921,36541866,13249354
ELAPSED,36652004,24165934,13440153,31667332,37675667,25357601,38239382,23160514
SWITCHED,1,1,1,1,1,1,1,1
SLA,False,False,True,True,False,False,False,True
PREMA,STATIC
ANTT,13.084227164863986,STP,1.9408718409617292,FAIRNESS,7.23047842500953e-10
