NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,VGG16,MobileNet,MobileNet,Automatic Speech Recognition,VGG16,GoogLeNet,MobileNet,Automatic Speech Recognition,GoogLeNet,Automatic Speech Recognition,VGG16,Automatic Speech Recognition
ISOLATED,6150050,1867013,1867013,13440293,6150050,813951,1867013,13440293,813951,13440293,6150050,13440293
PRIORITY,2,1,1,0,2,2,1,0,1,1,2,2
DISPATCHED,0,764911,493075,5682678,5900822,4980821,2847994,1026811,5058155,4041554,5236483,1674209
ESTIMATED,3555583,1419697,1419697,1,3555583,291425,1419697,1,291425,1,3555583,1
RUNNED,6150050,1866807,1866808,13440087,6150358,813746,1866808,13440087,814131,13440086,6149716,13440086
WAITED,0,7251948,5656976,46875919,40507417,33649825,20475758,64971873,34386237,21149006,35022040,8209457
ELAPSED,6150050,9118755,7523784,60316006,46657775,34463571,22342566,78411960,35200368,34589092,41171756,21649543
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,False,True,True,False,True,True,True
TOKEN,DYNAMIC
ANTT,11.35463549562756,STP,3.268003503016498,FAIRNESS,2.7322942569596833e-10
