NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Machine Translation,Machine Translation,Sentiment Analysis,Automatic Speech Recognition,GoogLeNet,Automatic Speech Recognition,VGG16,MobileNet,Sentiment Analysis,Automatic Speech Recognition,Sentiment Analysis,Sentiment Analysis
ISOLATED,9911366,9911366,4489981,13464404,11873594,13464404,77632498,25908758,4489981,13464404,4489981,4489981
PRIORITY,0,1,0,0,0,1,1,0,1,2,0,1
DISPATCHED,0,2008776,3850982,4147972,3789973,936266,5289800,3970838,3130197,4547557,1333600,4921510
ESTIMATED,1,1,1,1,1055492,1,14014972,5045956,1,1,1,1
RUNNED,9911200,9911498,4489777,13464198,11872875,13464025,77632292,25909576,4489776,13464198,4489777,4489777
WAITED,123451566,1,129511785,133704572,147526769,9911499,41465741,159218779,21181593,24254009,187765593,37344254
ELAPSED,133362766,9911499,134001562,147168770,159399644,23375524,119098033,185128355,25671369,37718207,192255370,41834031
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,False,True,False,True,False,True,True,True,True,True,False,True
PREMA,STATIC
ANTT,11.643785267083182,STP,3.3041414848675283,FAIRNESS,2.152549305890859e-11
