NNID,1,2,3,4,5,6,7,8
NET NAME,Machine Translation,Automatic Speech Recognition,GoogLeNet,VGG16,Sentiment Analysis,GoogLeNet,Sentiment Analysis,GoogLeNet
ISOLATED,9911366,13440293,813951,6150050,4469462,813951,4469462,813951
PRIORITY,0,2,2,0,0,1,1,0
DISPATCHED,0,3494550,834534,903840,489227,14011,2717012,1048730
ESTIMATED,1,1,291425,3555583,1,291425,1,291425
RUNNED,9910700,13440299,814068,6149844,4469256,814304,4469087,814259
WAITED,19537758,1,1,28544619,35109076,1,13440300,39018829
ELAPSED,29448458,13440300,814069,34694463,39578332,814305,17909387,39833088
SWITCHED,4,1,1,1,1,1,2,1
SLA,True,True,True,True,False,True,True,False
PREMA,DYNAMIC
ANTT,9.1766712468217,STP,3.8961702872600417,FAIRNESS,3.168273483736323e-10
