NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Sentiment Analysis,AlexNet,Sentiment Analysis,MobileNet,VGG16,Automatic Speech Recognition,Sentiment Analysis,Automatic Speech Recognition,AlexNet,Machine Translation,MobileNet,VGG16
ISOLATED,4469462,1697722,4469462,1867013,6150050,13440293,4469462,13440293,1697722,9911366,1867013,6150050
PRIORITY,2,1,1,2,0,2,1,2,0,1,2,2
DISPATCHED,0,5633423,5668847,546653,4592561,5890568,4571757,5030209,5621546,2176209,496859,2694117
ESTIMATED,1,307188,1,1419697,3555583,1,1,1,307188,1,1419697,3555583
RUNNED,4469462,1697517,4469256,1866806,6149844,13440088,4469256,13440087,1697518,9911160,1866808,6149844
WAITED,0,36540001,38202094,5789618,57187724,42449629,19692324,23703128,62308583,6026868,3972604,15420120
ELAPSED,4469462,38237518,42671350,7656424,63337568,55889717,24161580,37143215,64006101,15938028,5839412,21569964
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,False,True,True,True,True,True,True,False,True,True,True
TOKEN,DYNAMIC
ANTT,8.811816923250078,STP,3.530641856116744,FAIRNESS,9.77578610610949e-11
