NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Sentiment Analysis,Sentiment Analysis,MobileNet,Sentiment Analysis,MobileNet,AlexNet,MobileNet,VGG16,Sentiment Analysis,Machine Translation,GoogLeNet,VGG16
ISOLATED,4469462,4469462,1867013,4469462,1867013,1697722,1867013,6150050,4469462,9911366,813951,6150050
PRIORITY,2,2,1,1,1,2,2,2,2,2,2,1
DISPATCHED,0,1427930,2849190,1671323,3076478,4773939,4978506,4353796,3457119,1922290,645490,3931083
ESTIMATED,1,1,1419697,1,1419697,307188,1419697,3555583,1,1,291425,3555583
RUNNED,4469462,4469256,1866680,4469256,1866807,1697518,1866807,6150357,4469256,9911159,814259,6149843
WAITED,0,3041533,30998885,34043432,37107533,4164780,5657731,8149248,15196282,21200367,32388326,38119735
ELAPSED,4469462,7510789,32865565,38512688,38974340,5862298,7524538,14299605,19665538,31111526,33202585,44269578
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,False,True,False,True,True,True,True,True,False,True
HPF,DYNAMIC
ANTT,9.592777351528582,STP,3.492930395977121,FAIRNESS,0.02451468763651987
