NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,AlexNet,MobileNet,Machine Translation,Machine Translation,Machine Translation,GoogLeNet,VGG16,Sentiment Analysis,GoogLeNet,AlexNet,Sentiment Analysis,Automatic Speech Recognition
ISOLATED,1697722,1867013,9911366,9911366,9911366,813951,6150050,4469462,813951,1697722,4469462,13440293
PRIORITY,0,2,0,2,1,1,1,1,1,2,2,2
DISPATCHED,0,909120,1146157,4355422,4672856,1306012,2293100,2676148,3848916,5857243,5922276,1441201
ESTIMATED,307188,1419697,1,1,1,291425,3555583,1,291425,307188,1,1
RUNNED,1697602,1866929,9911160,9911032,9911161,813745,6150358,4469256,814258,1697003,4469256,13439962
WAITED,53542960,1,54094406,24108207,33701805,1470038,14736657,20503967,23800455,42428579,44060549,2148594
ELAPSED,55240562,1866930,64005566,34019239,43612966,2283783,20887015,24973223,24614713,44125582,48529805,15588556
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,False,True,True,True,True,True,True,True,False,False,True,True
TOKEN,STATIC
ANTT,10.655666952650153,STP,3.559880576071443,FAIRNESS,4.1889811962692653e-11
