NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Automatic Speech Recognition,Automatic Speech Recognition,Machine Translation,Automatic Speech Recognition,GoogLeNet,Sentiment Analysis,Automatic Speech Recognition,Automatic Speech Recognition,Automatic Speech Recognition,VGG16,VGG16,MobileNet
ISOLATED,13464404,13464404,9911366,13464404,11873594,4489981,13464404,13464404,13464404,77632498,77632498,25908758
PRIORITY,1,2,0,1,0,2,0,1,2,2,1,2
DISPATCHED,0,4306963,1084773,165536,2516581,4792303,5000806,1185700,4609394,5293646,3014220,567455
ESTIMATED,1,1,1,1,1055492,1,1,1,1,14014972,14014972,5045956
RUNNED,13464174,13464198,9911160,13464428,11872874,4489777,13464710,13464198,13464198,77632292,77632292,25908553
WAITED,9464,9166676,251899338,26762837,260378690,35600498,269767339,43696878,53737382,92425881,172337599,71243519
ELAPSED,13473638,22630874,261810498,40227265,272251564,40090275,283232049,57161076,67201580,170058173,249969891,97152072
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,False,True,False,True,False,True,True,True,True,True
PREMA,STATIC
ANTT,8.614548982350973,STP,3.639651029274633,FAIRNESS,2.2815031502435523e-11
