NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,GoogLeNet,Automatic Speech Recognition,VGG16,Automatic Speech Recognition,AlexNet,Sentiment Analysis,Sentiment Analysis
ISOLATED,1697722,813951,13440293,6150050,13440293,1697722,4469462,4469462
PRIORITY,1,0,1,0,0,0,2,0
DISPATCHED,0,3056455,625240,2594342,2780207,1852069,2508231,1101532
ESTIMATED,307188,291425,1,3555583,1,307188,1,1
RUNNED,1697722,814259,13440055,6149717,13440086,1697518,4469289,4469256
WAITED,0,16550612,5541772,17826984,23790836,38159060,1,40607115
ELAPSED,1697722,17364871,18981827,23976701,37230922,39856578,4469290,45076371
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,False,True,True,True,False,True,False
HPF,STATIC
ANTT,8.122119074427726,STP,3.5142210925824173,FAIRNESS,0.11799446161743522
