NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Machine Translation,Sentiment Analysis,Sentiment Analysis,AlexNet,MobileNet,Machine Translation,GoogLeNet,Machine Translation,Automatic Speech Recognition,GoogLeNet,GoogLeNet,Automatic Speech Recognition
ISOLATED,9911366,4489981,4489981,6473754,25908758,9911366,11873594,9911366,13464404,11873594,11873594,13464404
PRIORITY,1,1,1,0,2,2,0,2,2,2,0,2
DISPATCHED,0,5013579,1626979,1181940,5765829,2827461,2259749,820274,3921955,798229,141620,2912286
ESTIMATED,1,1,1,1114704,5045956,1,1055492,1,1,1055492,1055492,1
RUNNED,9911380,4489776,4489777,6473546,25909579,9911159,11873386,9911161,13464198,11873372,11873900,13464198
WAITED,22045,4919847,12796223,102242661,71749193,16085518,107638398,28003864,34813344,64843421,121629913,49287211
ELAPSED,9933425,9409623,17286000,108716207,97658772,25996677,119511784,37915025,48277542,76716793,133503813,62751409
SWITCHED,2,1,1,1,1,1,1,1,1,2,1,1
SLA,True,True,True,False,True,True,True,True,True,True,True,True
PREMA,DYNAMIC
ANTT,5.831266464019919,STP,3.538730250636447,FAIRNESS,4.019223733320974e-11
