NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,Sentiment Analysis,Automatic Speech Recognition,Machine Translation,Automatic Speech Recognition,GoogLeNet,Machine Translation,MobileNet
ISOLATED,6473174,4489906,13464275,10717761,13464275,11872941,10717761,25908806
PRIORITY,1,1,2,0,0,2,2,2
DISPATCHED,0,1534346,2630513,3851712,2001640,1787271,2670534,793105
ESTIMATED,1114704,1,1,1,1,1055492,1,5045956
RUNNED,6473425,2485997,6646942,5386500,6646428,11872873,5386499,25908881
WAITED,81895,30847961,44110664,54922906,62159478,33081033,50717585,5680321
ELAPSED,6555320,33333958,50757606,60309406,68805906,44953906,56104084,31589202
SWITCHED,2,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,4.148021968559005,STP,3.0361537950364474,FAIRNESS,4.571576617989001e-11
