NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,MobileNet,GoogLeNet,AlexNet,Sentiment Analysis,MobileNet,GoogLeNet,Automatic Speech Recognition,Automatic Speech Recognition,VGG16,Sentiment Analysis,Machine Translation,Machine Translation
ISOLATED,25908806,11872941,6473174,4489906,25908806,11872941,13464275,13464275,77632839,4489906,10717761,10717761
PRIORITY,1,0,0,0,2,1,2,0,1,2,2,1
DISPATCHED,0,896125,5036335,3613814,2128204,5305809,939277,1778686,4954474,5397692,3616677,614562
ESTIMATED,1419697,291425,307188,1,1419697,291425,1,1,3555583,1,1,1
RUNNED,1866781,814259,1697390,4358448,1867246,813745,12315384,12315591,6149717,4358449,9659790,9659789
WAITED,28200869,45794777,42468826,45588737,1,24761842,1867247,51782313,25926922,9724216,15863680,36416551
ELAPSED,30067650,46609036,44166216,49947185,1867247,25575587,14182631,64097904,32076639,14082665,25523470,46076340
SWITCHED,2,1,1,1,1,1,2,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True
HPF,DYNAMIC
ANTT,3.441980238654454,STP,20.243497777189656,FAIRNESS,0.02297771146662002
