NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,AlexNet,MobileNet,GoogLeNet,Machine Translation,Machine Translation,Sentiment Analysis,GoogLeNet,GoogLeNet,GoogLeNet,GoogLeNet,Machine Translation,VGG16,Machine Translation,Machine Translation,Automatic Speech Recognition,Machine Translation
ISOLATED,6473174,25908806,11872941,10717761,10717761,4489906,11872941,11872941,11872941,11872941,10717761,77632839,10717761,10717761,13464275,10717761
PRIORITY,2,1,1,2,0,2,0,2,1,1,2,1,2,0,1,0
DISPATCHED,0,5389821,2397315,2907984,4815247,6743152,6971647,5320487,1790226,5760898,2749079,6415314,1895688,3305661,1533955,3780606
ESTIMATED,1114704,5045956,1055492,1,1,1,1055492,1055492,1055492,1055492,1,14014972,1,1,1,1
RUNNED,6473754,25908553,11873388,6140610,6140611,2819960,11872874,11873386,11873898,11873386,6141122,77633315,6140610,6141122,7854029,6140609
WAITED,0,34199622,63100681,3565771,181790765,5871213,185774976,10113838,75581158,83484384,24558632,94703354,31553145,201313836,177218028,206980013
ELAPSED,6473754,60108175,74974069,9706381,187931376,8691173,197647850,21987224,87455056,95357770,30699754,172336669,37693755,207454958,185072057,213120622
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,False
HPF,DYNAMIC
ANTT,7.843409809106141,STP,5.386103687661903,FAIRNESS,0.16150067703928486
