NNID,1,2,3,4,5,6,7,8
NET NAME,Machine Translation,MobileNet,Automatic Speech Recognition,VGG16,Machine Translation,VGG16,Machine Translation,GoogLeNet
ISOLATED,10717761,25908806,13464275,77632839,10717761,77632839,10717761,11872941
PRIORITY,1,0,2,1,0,1,0,1
DISPATCHED,0,2189934,953902,2759446,196040,3628934,2131253,3094789
ESTIMATED,1,1419697,1,3555583,1,3555583,1,291425
RUNNED,2621153,1866680,2433642,6150357,2621429,6149844,2621430,814259
WAITED,2433642,15979322,1,2295350,19839896,7576219,20526112,14260208
ELAPSED,5054795,17846002,2433643,8445707,22461325,13726063,23147542,15074467
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,0.8939838434383203,STP,25.680336993014134,FAIRNESS,0.0856854114702009
