NNID,1,2,3,4
NET NAME,Sentiment Analysis,AlexNet,GoogLeNet,Sentiment Analysis
ISOLATED,4489906,6473174,11872941,4489906
PRIORITY,0,0,0,0
DISPATCHED,0,479976,1830353,538540
ESTIMATED,1,1114704,1055492,1
RUNNED,2596716,6473982,11874124,2596955
WAITED,6236837,10663696,9837301,7081108
ELAPSED,8833553,17137678,21711425,9678063
SWITCHED,15,39,35,16
SLA,True,True,True,True
"algo_str, mecha_str"
ANTT,2.1497701258324513,STP,1.8967728558163621,FAIRNESS,0.6907093285488737
