NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,AlexNet,AlexNet,Machine Translation,Automatic Speech Recognition,MobileNet,Machine Translation,AlexNet
ISOLATED,13464275,6473174,6473174,10717761,13464275,25908806,10717761,6473174
PRIORITY,1,1,1,2,0,2,1,0
DISPATCHED,0,1095218,385458,668080,54675,3488528,3641226,3749696
ESTIMATED,1,1114704,1114704,1,1,5045956,1,1114704
RUNNED,5028172,6473648,6474662,4128829,5029657,25909084,4128882,6472106
WAITED,29881684,35319681,35114773,26503993,31255769,34247429,28983471,34050305
ELAPSED,34909856,41793329,41589435,30632822,36285426,60156513,33112353,40522411
SWITCHED,31,40,39,25,31,39,25,37
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,4.0873157726573925,STP,2.331272572943404,FAIRNESS,0.10476683025300743
