NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Sentiment Analysis,Sentiment Analysis,Automatic Speech Recognition,AlexNet,VGG16,Automatic Speech Recognition,Sentiment Analysis,Automatic Speech Recognition,VGG16,Sentiment Analysis,GoogLeNet,Machine Translation
ISOLATED,4489906,4489906,13464275,6473174,77632839,13464275,4489906,13464275,77632839,4489906,11872941,10717761
PRIORITY,1,0,1,0,1,2,0,2,1,1,0,1
DISPATCHED,0,4018578,5732488,2877291,112884,2591668,160907,2091514,1618793,2286660,1592987,4469541
ESTIMATED,1,1,1,1114704,14014972,1,1,1,14014972,1,1055492,1
RUNNED,3153938,3153925,9225791,6473034,77632806,9226006,3153924,9225771,77632290,3153925,11872872,6894720
WAITED,18451777,192126670,15873228,196421882,30718623,1,205611300,9226007,106845520,183809943,207333144,184780987
ELAPSED,21605715,195280595,25099019,202894916,108351429,9226007,208765224,18451778,184477810,186963868,219206016,191675707
SWITCHED,2,1,1,1,1,1,1,2,1,1,1,1
SLA,True,False,True,False,True,True,False,True,True,False,False,False
HPF,DYNAMIC
ANTT,17.652091916814957,STP,4.281154079698466,FAIRNESS,0.03351727783504651
