NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,AlexNet,AlexNet,GoogLeNet,AlexNet,Machine Translation,Machine Translation,Sentiment Analysis,Sentiment Analysis,Sentiment Analysis,Automatic Speech Recognition,Sentiment Analysis,GoogLeNet
ISOLATED,6473174,6473174,11872941,6473174,10717761,10717761,4489906,4489906,4489906,13464275,4489906,11872941
PRIORITY,2,2,1,2,2,0,2,2,2,1,0,0
DISPATCHED,0,3204256,4293357,1744865,139258,4974236,2508116,5413130,5884496,731897,1804199,4136860
ESTIMATED,307188,307188,291425,307188,1,1,1,1,1,1,1,291425
RUNNED,1697625,1697004,814259,1697004,7900171,7900200,3582793,3582792,3582792,10616534,3582792,814258
WAITED,30079341,28572711,25110984,31729106,1,30196739,5531314,6209093,9320519,18055910,41266976,42517107
ELAPSED,31776966,30269715,25925243,33426110,7900172,38096939,9114107,9791885,12903311,28672444,44849768,43331365
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True
PREMA,DYNAMIC
ANTT,3.6730814717234943,STP,4.849992674314221,FAIRNESS,3.084800720314922e-10
