NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,AlexNet,Sentiment Analysis,GoogLeNet,GoogLeNet,Sentiment Analysis,VGG16,Automatic Speech Recognition,Machine Translation,Machine Translation,AlexNet,VGG16,AlexNet
ISOLATED,6473174,4489906,11872941,11872941,4489906,77632839,13464275,10717761,10717761,6473174,77632839,6473174
PRIORITY,2,0,1,2,0,0,2,1,2,2,0,2
DISPATCHED,0,3027057,4173441,105563,3882289,5224362,4821444,1368239,4388603,5852498,3494596,50663
ESTIMATED,1114704,1,1055492,1055492,1,14014972,1,1,1,1114704,14014972,1114704
RUNNED,6473944,5269023,11872874,11874594,5269023,77632806,15164729,11670440,11670749,6473548,77632292,6473546
WAITED,62253386,78647368,35700717,50378793,83061159,86988109,1,15164730,23814806,62874833,166350681,75150216
ELAPSED,68727330,83916391,47573591,62253387,88330182,164620915,15164730,26835170,35485555,69348381,243982973,81623762
SWITCHED,2,1,1,2,1,1,1,2,1,1,1,1
SLA,True,False,True,True,False,True,True,True,True,True,True,False
PREMA,DYNAMIC
ANTT,7.813128975189524,STP,3.1905260614460027,FAIRNESS,1.5157172343440574e-11
