NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,VGG16,GoogLeNet,Sentiment Analysis,MobileNet,VGG16,Automatic Speech Recognition,Sentiment Analysis
ISOLATED,77632839,77632839,11872941,4489906,25908806,77632839,13464275,4489906
PRIORITY,1,1,0,0,1,0,2,2
DISPATCHED,0,652389,2003376,2523894,2908986,2828246,3034228,2187291
ESTIMATED,14014972,14014972,1055492,1,5045956,14014972,1,1
RUNNED,77632402,77632804,11873136,3710801,25909577,77632292,10679634,3710604
WAITED,55883752,132863766,18101040,1,29068566,208320713,3200468,14390436
ELAPSED,133516154,210496570,29974176,3710802,54978143,285953005,13880102,18101040
SWITCHED,2,1,2,1,1,1,1,2
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,2.331262923846584,STP,4.517151425988961,FAIRNESS,0.02277832286616312
