NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,AlexNet,MobileNet,AlexNet,Sentiment Analysis,Sentiment Analysis,AlexNet,VGG16
ISOLATED,13464275,6473174,25908806,6473174,4489906,4489906,6473174,77632839
PRIORITY,1,0,0,2,2,1,0,1
DISPATCHED,0,754340,3719218,2335565,3834787,2485335,2211222,1546859
ESTIMATED,1,307188,1419697,307188,1,1,307188,3555583
RUNNED,3557934,1697516,1866808,1697518,1366727,1366538,1697004,6150283
WAITED,28141,13384661,12117299,3983776,1,2467468,15492103,6441859
ELAPSED,3586075,15082177,13984107,5681294,1366728,3834006,17189107,12592142
SWITCHED,2,1,1,1,1,2,1,2
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,0.9987071204148379,STP,18.173900126972583,FAIRNESS,2.9858931566175596e-09
