NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,VGG16,VGG16,AlexNet,GoogLeNet,MobileNet,Sentiment Analysis,Machine Translation,AlexNet,AlexNet,Automatic Speech Recognition,Sentiment Analysis,MobileNet,Automatic Speech Recognition,GoogLeNet,MobileNet,Machine Translation
ISOLATED,77632839,77632839,6473174,11872941,25908806,4489906,10717761,6473174,6473174,13464275,4489906,25908806,13464275,11872941,25908806,10717761
PRIORITY,1,1,0,0,0,0,2,2,0,2,2,0,2,2,2,1
DISPATCHED,0,5334647,2804430,2243577,4124205,1878770,5823630,1690885,3225632,861574,7893246,418270,1674633,7859222,6170782,3043660
ESTIMATED,14014972,14014972,1114704,1055492,5045956,1,1,1114704,1114704,1,1,5045956,1,1055492,5045956,1
RUNNED,77633052,77632290,6473548,11873388,25909576,3153923,6894872,6473033,6473549,9225600,3153924,25908551,9225791,11873387,25908552,6894721
WAITED,79649880,151948286,232110793,239145194,249137954,277292965,1,46438985,279100026,6894873,9088801,288380937,18461338,28397261,48432121,26318102
ELAPSED,157282932,229580576,238584341,251018582,275047530,280446888,6894873,52912018,285573575,16120473,12242725,314289488,27687129,40270648,74340673,33212823
SWITCHED,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
SLA,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,True
PREMA,DYNAMIC
ANTT,13.5290681647831,STP,5.452584089104574,FAIRNESS,8.284690094726534e-11
