NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,GoogLeNet,Machine Translation,MobileNet,GoogLeNet,Machine Translation,Machine Translation,Automatic Speech Recognition,Machine Translation,VGG16,VGG16,Automatic Speech Recognition,Machine Translation
ISOLATED,11872941,10717761,25908806,11872941,10717761,10717761,13464275,10717761,77632839,77632839,13464275,10717761
PRIORITY,1,1,2,2,2,0,2,1,0,1,2,1
DISPATCHED,0,298205,2308697,1145036,2055504,4145744,5146945,4248379,3481495,1296027,4770310,251482
ESTIMATED,1055492,1,5045956,1055492,1,1,1,1,14014972,14014972,1,1
RUNNED,11873406,5889753,25908562,11873564,5889750,5889239,7812991,5889240,77632805,77632292,7812990,5889240
WAITED,59297857,70873059,1,25908563,36871659,162326045,39669968,72812638,168879533,81654230,47859594,160331067
ELAPSED,71171263,76762812,25908563,37782127,42761409,168215284,47482959,78701878,246512338,159286522,55672584,166220307
SWITCHED,2,1,1,2,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,False,True,True,True,True,True,False
HPF,DYNAMIC
ANTT,6.06367960157868,STP,3.4634283672661255,FAIRNESS,0.0682483137933268
